# xp yp zp Bx By Bz
# 10251 6
# 201 1 51 6
 2.40000000e-02  0.00000000e+00 -9.90000000e-02  1.44672300e-04  0.00000000e+00 -4.64462800e-04
 2.60000000e-02  0.00000000e+00 -9.90000000e-02  9.24546400e-05  0.00000000e+00 -3.01289700e-04
 2.80000000e-02  0.00000000e+00 -9.90000000e-02  9.73729500e-05  0.00000000e+00 -2.69642200e-04
 3.00000000e-02  0.00000000e+00 -9.90000000e-02  6.32853800e-05  0.00000000e+00 -1.70086400e-04
 3.20000000e-02  0.00000000e+00 -9.90000000e-02  4.09323300e-05  0.00000000e+00 -1.27988400e-04
 3.40000000e-02  0.00000000e+00 -9.90000000e-02  5.19891000e-05  0.00000000e+00 -1.00804600e-04
 3.60000000e-02  0.00000000e+00 -9.90000000e-02  3.45279700e-05  0.00000000e+00 -6.71201900e-05
 3.80000000e-02  0.00000000e+00 -9.90000000e-02  2.45659900e-05  0.00000000e+00 -6.15431300e-05
 4.00000000e-02  0.00000000e+00 -9.90000000e-02  3.43348300e-05  0.00000000e+00 -4.25053100e-05
 4.20000000e-02  0.00000000e+00 -9.90000000e-02  2.50626800e-05  0.00000000e+00 -3.04814000e-05
 4.40000000e-02  0.00000000e+00 -9.90000000e-02  2.01383600e-05  0.00000000e+00 -3.30339100e-05
 4.60000000e-02  0.00000000e+00 -9.90000000e-02  2.70413500e-05  0.00000000e+00 -2.19756800e-05
 4.80000000e-02  0.00000000e+00 -9.90000000e-02  2.18175900e-05  0.00000000e+00 -1.69582400e-05
 5.00000000e-02  0.00000000e+00 -9.90000000e-02  1.90784600e-05  0.00000000e+00 -2.00850300e-05
 5.20000000e-02  0.00000000e+00 -9.90000000e-02  2.36448000e-05  0.00000000e+00 -1.42077900e-05
 5.40000000e-02  0.00000000e+00 -9.90000000e-02  2.05103000e-05  0.00000000e+00 -1.15596300e-05
 5.60000000e-02  0.00000000e+00 -9.90000000e-02  1.88240400e-05  0.00000000e+00 -1.37959400e-05
 5.80000000e-02  0.00000000e+00 -9.90000000e-02  1.89926600e-05  0.00000000e+00 -1.76170500e-05
 6.00000000e-02  0.00000000e+00 -9.90000000e-02  1.98286700e-05  0.00000000e+00 -9.05897100e-06
 6.20000000e-02  0.00000000e+00 -9.90000000e-02  1.87023900e-05  0.00000000e+00 -1.03994500e-05
 6.40000000e-02  0.00000000e+00 -9.90000000e-02  1.86671100e-05  0.00000000e+00 -1.28792300e-05
 6.60000000e-02  0.00000000e+00 -9.90000000e-02  1.93545400e-05  0.00000000e+00 -7.58500000e-06
 6.80000000e-02  0.00000000e+00 -9.90000000e-02  1.85475400e-05  0.00000000e+00 -8.27001000e-06
 7.00000000e-02  0.00000000e+00 -9.90000000e-02  1.84060200e-05  0.00000000e+00 -9.81299700e-06
 7.20000000e-02  0.00000000e+00 -9.90000000e-02  1.89351000e-05  0.00000000e+00 -6.44959700e-06
 7.40000000e-02  0.00000000e+00 -9.90000000e-02  1.83166800e-05  0.00000000e+00 -6.69613100e-06
 7.60000000e-02  0.00000000e+00 -9.90000000e-02  1.81173400e-05  0.00000000e+00 -7.60620000e-06
